,Unnamed: 0,left_ht,left_age,left_ace,left_df,left_svpt,left_1stIn,left_1stWon,left_2ndWon,left_SvGms,left_bpSaved,left_bpFaced,left_rank,left_rank_points,right_ht,right_age,right_ace,right_df,right_svpt,right_1stIn,right_1stWon,right_2ndWon,right_SvGms,right_bpSaved,right_bpFaced,right_rank,right_rank_points,left_name,right_name,target,tourney_date,tourney_name
60985,923.0,,21.712434405660005,7.203389830508475,3.610169491525424,85.01694915254237,53.96610169491525,38.6271186440678,15.559322033898304,13.152542372881356,4.779661016949152,7.423728813559322,117.9,684.15,,19.9493497604,6.0,4.0,102.0,54.5,38.5,24.5,15.0,3.0,5.5,175.5,328.5,Hubert Hurkacz,Duck Hee Lee,1,2019-08-19,Winston-Salem
96929,831.0,190.0,24.889026331196987,8.836363636363636,4.224242424242425,81.92121212121212,49.69090909090909,36.57575757575758,16.175757575757576,12.93939393939394,3.7515151515151515,6.212121212121212,101.71084337349397,494.33734939759034,183.0,23.276832832809145,4.724832214765101,2.01006711409396,79.11744966442953,44.23489932885906,31.02013422818792,18.2248322147651,12.24496644295302,4.476510067114094,7.298657718120805,36.579804560260584,1573.1302931596092,Nicolas Mahut,Gilles Simon,0,2010-10-25,Montpellier
74051,976.0,196.0,21.0631987223,14.666666666666666,4.666666666666667,88.0,55.666666666666664,42.666666666666664,16.0,14.333333333333334,2.3333333333333335,4.333333333333333,558.3333333333334,32.333333333333336,180.0,28.427345209684457,4.215277777777778,3.2569444444444446,78.20833333333333,46.56944444444444,31.76388888888889,15.472222222222221,12.20138888888889,4.368055555555555,7.631944444444445,80.85135135135135,522.3986486486486,Amer Delic,Sargis Sargsian,0,2003-08-25,US Open
87855,766.0,185.0,25.73634496922,1.75,2.5,105.25,72.25,47.0,17.25,14.75,6.75,10.25,142.4,297.0,185.0,21.651341379943297,4.294117647058823,2.6405228758169934,78.68627450980392,48.69934640522876,33.76470588235294,15.457516339869281,12.294117647058824,4.03921568627451,6.790849673202614,54.09146341463415,768.2134146341464,Diego Hartfield,Igor Andreev,0,2007-01-29,Vina del Mar
25769,742.0,185.0,18.85978334011561,2.4690265486725664,1.6415929203539823,73.84070796460178,51.47345132743363,35.88053097345133,12.56637168141593,11.920353982300885,3.672566371681416,5.68141592920354,30.966244725738395,2522.928270042194,178.0,18.9199178645,0.0,2.5,55.75,38.0,21.75,7.0,8.75,5.25,9.5,726.25,40.75,Rafael Nadal,Karan Rastogi,1,2007-01-01,Chennai
32336,302.0,193.0,19.596167008895,6.571428571428571,1.5,85.42857142857143,53.142857142857146,38.0,17.428571428571427,12.142857142857142,4.571428571428571,6.785714285714286,370.7,171.7,193.0,20.633591662799983,8.50925925925926,3.3518518518518516,78.27777777777777,45.05555555555556,33.148148148148145,16.37037037037037,12.342592592592593,3.861111111111111,6.550925925925926,54.69585253456221,1147.774193548387,Thiemo De Bakker,Gael Monfils,1,2009-09-18,Davis Cup WG PO: NED vs FRA
59649,588.0,185.0,27.705224731918516,7.179245283018868,3.707547169811321,79.5377358490566,43.5188679245283,32.54716981132076,17.547169811320753,12.31132075471698,3.8679245283018866,6.547169811320755,92.16666666666667,697.1018518518518,190.0,27.73781398806262,4.901408450704225,2.7577464788732393,80.6112676056338,46.87605633802817,33.085915492957746,16.91830985915493,12.516901408450705,4.390140845070422,7.354929577464789,54.693548387096776,949.2204301075269,Peter Gojowczyk,Andreas Seppi,1,2019-03-04,Indian Wells Masters
85990,903.0,185.0,18.871019849417998,4.88,3.46,81.64,48.1,33.92,16.22,12.26,4.8,7.74,104.38,425.42,208.0,26.213915861359293,19.187878787878788,4.2,89.22424242424242,57.07878787878788,47.163636363636364,16.55757575757576,14.27878787878788,3.103030303030303,4.363636363636363,81.89830508474576,536.9887005649717,Evgeny Korolev,Ivo Karlovic,0,2007-07-29,Washington
81253,170.0,,20.84599589325,3.0,2.5,82.0,48.5,31.5,14.0,11.5,4.5,8.5,425.25,67.25,188.0,20.17598296447778,3.8461538461538463,2.5384615384615383,66.07692307692308,39.76923076923077,25.846153846153847,12.076923076923077,10.307692307692308,4.153846153846154,7.6923076923076925,390.5,87.11111111111111,Peng Sun,Prakash Amritraj,0,2005-03-04,Davis Cup G1 R1: IND vs CHN
50738,686.0,190.0,23.427221334958524,3.6717557251908395,3.1297709923664123,75.78625954198473,45.69465648854962,32.14503816793893,15.557251908396946,11.786259541984732,4.0,6.6183206106870225,83.88148148148149,702.8888888888889,183.0,31.36914442163002,3.5170068027210886,2.4693877551020407,73.38775510204081,43.265306122448976,29.31972789115646,14.4421768707483,11.380952380952381,4.08843537414966,7.340136054421769,83.68,640.8333333333334,Federico Delbonis,Paolo Lorenzi,1,2016-02-15,Rio de Janeiro
8051,41.0,188.0,19.109678076264462,9.565217391304348,3.0,74.3913043478261,44.208695652173915,34.74782608695652,16.62608695652174,12.078260869565218,3.0956521739130434,4.478260869565218,77.25833333333334,1253.45,190.0,26.193548939076884,4.033783783783784,2.0067567567567566,75.48648648648648,49.50675675675676,34.277027027027025,13.182432432432432,11.824324324324325,4.108108108108108,6.668918918918919,34.91875,1110.675,Andy Roddick,Jiri Novak,1,2002-07-29,Canada Masters
26295,267.0,183.0,24.003650467716348,5.247191011235955,3.1123595505617976,81.46441947565543,49.08988764044944,33.947565543071164,15.850187265917603,12.329588014981274,4.647940074906367,7.606741573033708,67.0,658.6224489795918,183.0,17.54718990037037,3.423076923076923,3.5,80.3076923076923,48.5,31.307692307692307,14.961538461538462,12.076923076923077,4.576923076923077,8.423076923076923,360.7037037037037,233.8148148148148,Jurgen Melzer,Donald Young,1,2008-05-18,Poertschach
93714,619.0,178.0,27.10198494181333,1.5,2.357142857142857,84.07142857142857,57.785714285714285,36.07142857142857,12.285714285714286,12.5,5.928571428571429,10.142857142857142,132.13333333333333,595.1333333333333,188.0,21.444216290200004,6.75,3.5,55.25,31.0,25.0,11.75,9.75,0.25,2.5,128.5,562.5,Diego Junqueira,Leonardo Mayer,0,2009-02-23,Acapulco
93746,651.0,183.0,26.379192334021436,3.8260869565217392,3.0579710144927534,75.14492753623189,39.78260869565217,27.17391304347826,16.63768115942029,11.347826086956522,4.478260869565218,8.0,132.65714285714284,393.65714285714284,175.0,25.75565841830762,3.889830508474576,3.3983050847457625,76.60169491525424,39.940677966101696,27.203389830508474,17.95762711864407,11.720338983050848,4.47457627118644,8.0,116.80508474576271,401.64406779661016,Santiago Ventura,Bjorn Phau,0,2009-01-05,Chennai
74414,338.0,,,,,,,,,,,,,,188.0,27.775830119703038,4.815950920245399,4.0,77.8036809815951,42.5398773006135,29.779141104294478,16.496932515337424,11.773006134969325,4.515337423312883,7.865030674846626,56.451219512195124,770.4085365853658,Gabriel Moraru,Albert Portas,0,2003-09-08,Bucharest
73496,421.0,190.0,29.046378248243112,8.88888888888889,3.537037037037037,83.57407407407408,49.870370370370374,37.27777777777778,17.166666666666668,12.851851851851851,4.518518518518518,6.703703703703703,182.78947368421052,344.2280701754386,185.0,22.54539473335272,3.675,5.291666666666667,80.81666666666666,45.25,31.641666666666666,16.991666666666667,12.175,4.683333333333334,7.966666666666667,66.70542635658914,660.2015503875969,Kenneth Carlsen,Michel Kratochvil,0,2003-02-24,Copenhagen
84176,90.0,180.0,23.475934582842005,4.868263473053892,2.838323353293413,75.79041916167665,50.91616766467066,35.365269461077844,12.197604790419161,11.676646706586826,3.8862275449101795,6.407185628742515,72.39893617021276,585.1436170212766,180.0,26.450889801506246,3.066666666666667,2.066666666666667,77.4,50.6,32.13333333333333,12.666666666666666,11.666666666666666,5.133333333333334,8.8,143.75,311.875,Luis Horna,Marcos Daniel,0,2006-04-10,Houston
114959,843.0,175.0,26.39984810553767,2.2868525896414345,2.8884462151394423,77.54980079681275,46.57370517928287,30.888446215139442,15.645418326693227,12.063745019920319,4.446215139442231,7.876494023904383,83.28424657534246,674.181506849315,,20.588848523153846,5.846153846153846,2.076923076923077,74.3076923076923,43.92307692307692,30.923076923076923,14.692307692307692,11.076923076923077,3.769230769230769,6.230769230769231,164.6153846153846,405.38461538461536,Dudi Sela,Daniil Medvedev,0,2017-01-02,Chennai
13067,52.0,183.0,21.712570550145077,7.364406779661017,6.389830508474576,81.42372881355932,47.97457627118644,35.23728813559322,16.21186440677966,12.559322033898304,4.161016949152542,6.661016949152542,75.27868852459017,863.0983606557377,,20.479607037876473,,,,,,,,,,351.88235294117646,82.29411764705883,Fernando Gonzalez,Jose De Armas,1,2003-07-11,Davis Cup G1 PO: VEN vs CHI
26170,142.0,185.0,20.05835945099359,5.4763779527559056,2.5984251968503935,74.51181102362204,45.468503937007874,33.311023622047244,15.228346456692913,11.996062992125983,3.1850393700787403,5.417322834645669,44.1578947368421,1224.7781954887218,188.0,23.345338765297768,10.215753424657533,3.3013698630136985,78.88013698630137,41.39383561643836,31.852739726027398,19.08219178082192,12.404109589041095,3.8493150684931505,6.167808219178082,76.016077170418,734.3344051446945,Richard Gasquet,Mardy Fish,1,2008-10-12,Madrid Masters
88746,656.0,198.0,18.47595283271519,4.986666666666666,2.7466666666666666,72.6,47.413333333333334,32.18666666666667,13.106666666666667,11.386666666666667,3.933333333333333,6.546666666666667,80.41772151898734,516.253164556962,188.0,23.299134571055202,9.351851851851851,3.552469135802469,83.0925925925926,48.64506172839506,36.589506172839506,17.564814814814813,13.055555555555555,3.9753086419753085,6.246913580246914,54.48367952522255,818.5252225519288,Juan Martin del Potro,Feliciano Lopez,0,2008-03-27,Miami Masters
